Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/10/1999,Isle of Wight,E06000046,63660,23.6,,2.1,13.3,,411,103224,24.1,2.2,13.4,66650,22.6,2.1,13.1,50195,22.1,1.7,12.9,41715,26.4,2.6,13.8,,,,,,,,,,,,,,,,,,,74235,23.5,2.1,13,27,63497,23.6,2.1,13.3,384
01/11/1999,Isle of Wight,E06000046,65219,24.2,,2.4,13.6,,407,105718,24.7,2.4,13.6,68303,23.2,2.5,13.4,51291,22.6,2.2,13.4,42900,27.1,2.8,14.3,,,,,,,,,,,,,,,,,,,75999,24.1,2.4,12.8,25,65056,24.2,2.5,13.7,382
01/12/1999,Isle of Wight,E06000046,65583,24.3,,0.6,14.5,,330,105930,24.7,0.2,14.3,68673,23.3,0.5,14.1,51618,22.7,0.6,14.6,43405,27.4,1.2,15.2,,,,,,,,,,,,,,,,,,,77111,24.5,1.5,13.5,28,65376,24.3,0.5,14.6,302
01/01/2000,Isle of Wight,E06000046,66260,24.6,,1,16.7,,229,107161,25,1.2,16.8,69431,23.6,1.1,16.3,52156,23,1,16.9,43689,27.6,0.7,17.1,,,,,,,,,,,,,,,,,,,77710,24.6,0.8,14.5,18,66063,24.5,1.1,16.9,211
01/02/2000,Isle of Wight,E06000046,67121,24.9,,1.3,20.3,,255,108725,25.4,1.5,20.8,70282,23.8,1.2,19.6,52803,23.3,1.2,20.2,44180,27.9,1.1,20.3,,,,,,,,,,,,,,,,,,,79177,25.1,1.9,18.3,22,66893,24.8,1.3,20.4,233
01/03/2000,Isle of Wight,E06000046,68001,25.2,,1.3,17.5,,325,110409,25.8,1.5,18.5,71368,24.2,1.5,17.2,53442,23.6,1.2,17.2,44428,28.1,0.6,16.7,,,,,,,,,,,,,,,,,,,79898,25.3,0.9,15.4,25,67790,25.2,1.3,17.7,300
01/04/2000,Isle of Wight,E06000046,69352,25.7,,2,18.1,,293,112151,26.2,1.6,18.9,72704,24.7,1.9,17.6,54590,24.1,2.1,17.5,45575,28.8,2.6,17.8,,,,,,,,,,,,,,,,,,,81554,25.9,2.1,16.9,15,69133,25.7,2,18.2,278
01/05/2000,Isle of Wight,E06000046,70486,26.1,,1.6,18.1,,319,113804,26.6,1.5,18.9,73967,25.1,1.7,17.8,55424,24.4,1.5,17.1,46420,29.3,1.9,18.1,,,,,,,,,,,,,,,,,,,82521,26.2,1.2,16.6,11,70286,26.1,1.7,18.2,308
01/06/2000,Isle of Wight,E06000046,73492,27.2,,4.3,25.3,,319,118590,27.7,4.2,26.1,77054,26.1,4.2,24.9,57647,25.4,4,23.7,48625,30.7,4.7,26.2,,,,,,,,,,,,,,,,,,,85706,27.2,3.9,23.3,26,73304,27.2,4.3,25.5,293
01/07/2000,Isle of Wight,E06000046,74472,27.6,,1.3,25,,369,120888,28.2,1.9,25.9,78177,26.5,1.5,24.9,58224,25.7,1,23.1,48938,30.9,0.6,25.5,,,,,,,,,,,,,,,,,,,86590,27.5,1,22.7,25,74298,27.6,1.4,25.1,344
